CJ Walker,JR,2019-20,G,Ohio State,Big Ten,29,832,85,200,58,118,27,82,45,55,8,78,86,101,38,2,48,70,242,28.7,2.9,6.9,2.0,4.1,0.9,2.8,1.6,1.9,0.3,2.7,3.0,3.5,1.3,0.1,1.7,2.4,8.3
D.J. Carton,FR,2019-20,G,Ohio State,Big Ten,20,477,71,149,47,89,24,60,41,54,10,46,56,59,13,8,52,38,207,23.9,3.6,7.5,2.4,4.5,1.2,3.0,2.1,2.7,0.5,2.3,2.8,3.0,0.7,0.4,2.6,1.9,10.4
Luther Muhammad,SO,2019-20,G,Ohio State,Big Ten,28,686,59,151,27,58,32,93,48,56,10,49,59,38,26,2,31,48,198,24.5,2.1,5.4,1.0,2.1,1.1,3.3,1.7,2.0,0.4,1.8,2.1,1.4,0.9,0.1,1.1,1.7,7.1
Kyle Young,JR,2019-20,F,Ohio State,Big Ten,25,573,72,123,70,110,2,13,42,64,51,93,144,23,8,13,14,48,188,22.9,2.9,4.9,2.8,4.4,0.1,0.5,1.7,2.6,2.0,3.7,5.8,0.9,0.3,0.5,0.6,1.9,7.5
Malachi Flynn,JR,2019-20,G,San Diego State,MWC,29,963,167,374,99,191,68,183,108,126,18,110,128,147,51,3,49,48,510,33.2,5.8,12.9,3.4,6.6,2.3,6.3,3.7,4.3,0.6,3.8,4.4,5.1,1.8,0.1,1.7,1.7,17.6
Matt Mitchell,JR,2019-20,F,San Diego State,MWC,29,742,116,242,77,144,39,98,88,102,30,109,139,48,32,11,47,84,359,25.6,4.0,8.3,2.7,5.0,1.3,3.4,3.0,3.5,1.0,3.8,4.8,1.7,1.1,0.4,1.6,2.9,12.4
Yanni Wetzell,SR,2019-20,F,San Diego State,MWC,29,808,137,229,130,208,7,21,55,87,66,121,187,40,22,18,57,72,336,27.9,4.7,7.9,4.5,7.2,0.2,0.7,1.9,3.0,2.3,4.2,6.4,1.4,0.8,0.6,2.0,2.5,11.6
Jordan Schakel,JR,2019-20,G,San Diego State,MWC,29,761,97,212,34,67,63,145,36,39,21,83,104,17,24,2,16,59,293,26.2,3.3,7.3,1.2,2.3,2.2,5.0,1.2,1.3,0.7,2.9,3.6,0.6,0.8,0.1,0.6,2.0,10.1
KJ Feagin,SR,2019-20,G,San Diego State,MWC,29,866,88,232,38,101,50,131,27,33,9,80,89,89,18,9,53,54,253,29.9,3.0,8.0,1.3,3.5,1.7,4.5,0.9,1.1,0.3,2.8,3.1,3.1,0.6,0.3,1.8,1.9,8.7
Nathan Mensah,SO,2019-20,F,San Diego State,MWC,13,263,37,60,37,60,0,0,16,25,27,62,89,4,10,22,14,30,90,20.2,2.8,4.6,2.8,4.6,0.0,0.0,1.2,1.9,2.1,4.8,6.8,0.3,0.8,1.7,1.1,2.3,6.9
Obi Toppin,SO,2019-20,F,Dayton,A-10,29,924,228,361,197,281,31,80,87,126,35,192,227,60,28,37,66,47,574,31.9,7.9,12.4,6.8,9.7,1.1,2.8,3.0,4.3,1.2,6.6,7.8,2.1,1.0,1.3,2.3,1.6,19.8
Jalen Crutcher,JR,2019-20,G,Dayton,A-10,28,941,134,291,68,133,66,158,80,93,12,77,89,138,25,2,58,43,414,33.6,4.8,10.4,2.4,4.8,2.4,5.6,2.9,3.3,0.4,2.8,3.2,4.9,0.9,0.1,2.1,1.5,14.8
Trey Landers,SR,2019-20,G,Dayton,A-10,29,829,119,210,99,148,20,62,52,87,51,138,189,71,31,9,39,74,310,28.6,4.1,7.2,3.4,5.1,0.7,2.1,1.8,3.0,1.8,4.8,6.5,2.4,1.1,0.3,1.3,2.6,10.7
Ibi Watson,JR,2019-20,G,Dayton,A-10,29,647,103,207,61,97,42,110,49,58,18,49,67,39,6,7,30,48,297,22.3,3.6,7.1,2.1,3.3,1.4,3.8,1.7,2.0,0.6,1.7,2.3,1.3,0.2,0.2,1.0,1.7,10.2
Ryan Mikesell,SR,2019-20,F,Dayton,A-10,29,800,96,197,75,115,21,82,40,57,31,110,141,57,20,20,27,62,253,27.6,3.3,6.8,2.6,4.0,0.7,2.8,1.4,2.0,1.1,3.8,4.9,2.0,0.7,0.7,0.9,2.1,8.7
Rodney Chatman,JR,2019-20,G,Dayton,A-10,29,771,72,174,39,82,33,92,51,70,9,58,67,92,37,4,62,81,228,26.6,2.5,6.0,1.3,2.8,1.1,3.2,1.8,2.4,0.3,2.0,2.3,3.2,1.3,0.1,2.1,2.8,7.9
Jordan Nwora,JR,2019-20,F,Louisville,ACC,30,986,183,413,111,233,72,180,102,126,51,177,228,39,23,8,63,65,540,32.9,6.1,13.8,3.7,7.8,2.4,6.0,3.4,4.2,1.7,5.9,7.6,1.3,0.8,0.3,2.1,2.2,18.0
